run_timestamp_utc,model_id,model_folder,n_vocab_features,n_label_classes,macro_f1_val,macro_f1_test,weighted_f1_test,n_train,n_val,n_test,tfidf__analyzer,tfidf__ngram_range,tfidf__min_df,tfidf__max_df,tfidf__sublinear_tf,clf__solver,clf__max_iter,clf__class_weight,clf__random_state,clf__C,hf_model_name,max_length,num_epochs,train_batch_size,eval_batch_size,grad_accum_steps,learning_rate,weight_decay,warmup_steps,warmup_ratio_equivalent,seed
2026-05-10T03:34:41.843630+00:00,tfidf_logreg,tf-idf_logistic-reg_model,2075.0,4,0.200935,0.200935,0.260073,2789,598,598,word,"(1, 2)",2.0,0.95,True,saga,200.0,balanced,42.0,1.0,,,,,,,,,,,
2026-05-10T09:47:48.100653+00:00,xlm_roberta_hf,xlm_roberta_base_model,,4,0.660986,0.664393,0.993317,2789,598,598,,,,,,,,,,,xlm-roberta-base,256.0,3.0,8.0,16.0,2.0,2e-05,0.01,52.0,0.1,42.0
2026-05-10T10:47:39.058747+00:00,distilbert_multilingual_hf,distilbert_multilingual_model,,4,0.928125,0.997722,0.996656,2789,598,598,,,,,,,,,,,distilbert-base-multilingual-cased,256.0,3.0,16.0,32.0,1.0,2e-05,0.01,52.0,0.1,42.0
